42, 中,「才藝」多方興趣，十九不成，專心進取，庶可成功。
43, 凶,「散財」懷才不遇，難有大成，外見幸福，實則勞煩。
44, 凶,「煩悶」凡事不順，逆境頻仍，障礙疾病，徒勞無功。
45, 吉,「順風」經綸智謀，穩重沉著，過關斬將，光明前途。
46, 凶,「波瀾」浮沈不定，艱難困苦，意志薄弱，欲振乏力。
47, 吉,「開花」大業成就，能屈能伸，圓滿無礙，福及子孫。
48, 吉,「德智」智謀才能，德望亦高，堪為顧問，實至名歸。
49, 凶,「變化」趨吉則吉，遇凶則凶，變化無常，難達目的。
50, 凶,「離愁」成敗瞬間，吉凶難判，如有大成，終告破敗。
51, 中,「浮沈」一盛一衰，吉凶參半，早年有成，晚年浮沈。
52, 吉,「先見」遠見卓識，洞燭先機，貫徹大志，榮隆綿綿。
53, 凶,「內憂」外觀禎祥，內患障礙，前半幸福，後半苦境。
54, 凶,「多難」苦境不絕，不睦失和，憂悶疾患，孤獨橫禍。
55, 中,「煩勞」盛極反凶，滯留不進，如能堅志，或有後望。
56, 凶,「衰退」乏力志弱，事與願違，十事九敗，晚境淒涼。
57, 吉,「朝日」資性剛強，遇難能化，時來運轉，後福無窮。
58, 中,「晚成」個性剛強，大難不死，雖有禍端，大器晚成。
59, 凶,「懦弱」缺乏耐心，意志不堅，好事不成，終生勞苦。
60, 凶,「暗淡」無謀無算，心迷意亂，動搖不安，病苦終身。
61, 吉,「名利」天賦富貴，排除萬難，宜養柔德，名利雙收。
62, 凶,「衰敗」身心雜亂，雪上如霜，志望難伸，家運衰廢。
63, 吉,「福祿」諸事如意，不費心神，子孫繁榮，福祿雙收。
64, 凶,「離敗」浮沈破敗，困苦無靠，意外災害，骨肉離散。
65, 吉,「福壽」溫厚篤實，能享盛名，家運昌隆，富貴長壽。
66, 凶,「不和」滯塞窮迫，進退維谷，內外不和，信用缺乏。
67, 吉,「亨通」蒙上扶掖，諸事無礙，貫徹大志，蒙成利豐。
68, 吉,「自立」思慮周詳，操守高潔，勤勉力行，實至名歸。
69, 凶,「不安」滯塞窮迫，動搖不安，精神異常，處境堪憐。
70, 凶,「險絕」險惡暗淡，憂苦不絕，雜亂刑剋，恐致失明。
71, 中,「勞碌」秋夜羞月，秀麗不實，東奔西走，勞而無功。
72, 凶,「陰暗」外吉內凶，昨樂今悲，非吉即凶，禍福無由。
73, 吉,「安祥」志高性善，保守可成，天賦福祉，晚境寧祥。
74, 凶,「逆運」秋霜落葉，時有災厄，智能平凡，蹉跎歲月。
75, 中,「退守」不謀急功，易受阻礙，妄進大敗，知足常樂。
76, 凶,「傾盪」內外不和，一家離散，敗產傾家，病弱纏身。
77, 中,「後吉」吉中有凶，樂極生悲，前半若苦，後半轉吉。
78, 中,「落葉」才智俱備，中年有成，好景不常，暫自衰退。
79, 凶,「無謀」精神不定，缺乏節操，失信受青，欲振乏力。
80, 凶,「遁吉」吉星遼遠，障礙迭來，隱遁守成，化凶為吉。
81, 吉,「還原」最極之數，陽氣歸元，萬寶朝宗，大吉大利。
